StudyId,SubjectId,MonitorSerial,Sensor,Timestamp,TemperatureCelsius
1013,62593,CPW1C47210388,ADXL,1663082460,29.93670886
1013,62593,CPW1C47210388,MCU,1663082460,29.71428571
1013,62593,CPW1C47210388,ADXL,1663082464,29.93670886
1013,62593,CPW1C47210388,MCU,1663082464,29.71428571
1013,62593,CPW1C47210388,ADXL,1663082468,29.93670886
1013,62593,CPW1C47210388,MCU,1663082468,29.71428571
1013,62593,CPW1C47210388,ADXL,1663082472,29.81012658
1013,62593,CPW1C47210388,MCU,1663082472,29.42857143
1013,62593,CPW1C47210388,ADXL,1663082476,29.74683544
1013,62593,CPW1C47210388,MCU,1663082476,29.71428571
1013,62593,CPW1C47210388,ADXL,1663082480,29.6835443
1013,62593,CPW1C47210388,MCU,1663082480,29.71428571
1013,62593,CPW1C47210388,ADXL,1663082484,29.74683544
1013,62593,CPW1C47210388,MCU,1663082484,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082488,29.74683544
1013,62593,CPW1C47210388,MCU,1663082488,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082492,29.49367089
1013,62593,CPW1C47210388,MCU,1663082492,29.42857143
1013,62593,CPW1C47210388,ADXL,1663082496,29.6835443
1013,62593,CPW1C47210388,MCU,1663082496,29.42857143
1013,62593,CPW1C47210388,ADXL,1663082500,29.49367089
1013,62593,CPW1C47210388,MCU,1663082500,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082504,29.49367089
1013,62593,CPW1C47210388,MCU,1663082504,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082508,29.43037975
1013,62593,CPW1C47210388,MCU,1663082508,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082512,29.43037975
1013,62593,CPW1C47210388,MCU,1663082512,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082516,29.49367089
1013,62593,CPW1C47210388,MCU,1663082516,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082520,29.43037975
1013,62593,CPW1C47210388,MCU,1663082520,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082524,29.24050633
1013,62593,CPW1C47210388,MCU,1663082524,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082528,29.30379747
1013,62593,CPW1C47210388,MCU,1663082528,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082532,29.24050633
1013,62593,CPW1C47210388,MCU,1663082532,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082536,29.17721519
1013,62593,CPW1C47210388,MCU,1663082536,29.14285714
1013,62593,CPW1C47210388,ADXL,1663082540,29.17721519
1013,62593,CPW1C47210388,MCU,1663082540,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082544,29.17721519
1013,62593,CPW1C47210388,MCU,1663082544,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082548,29.17721519
1013,62593,CPW1C47210388,MCU,1663082548,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082552,29.24050633
1013,62593,CPW1C47210388,MCU,1663082552,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082556,29.17721519
1013,62593,CPW1C47210388,MCU,1663082556,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082560,29.17721519
1013,62593,CPW1C47210388,MCU,1663082560,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082564,29.11392405
1013,62593,CPW1C47210388,MCU,1663082564,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082568,29.11392405
1013,62593,CPW1C47210388,MCU,1663082568,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082572,28.98734177
1013,62593,CPW1C47210388,MCU,1663082572,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082576,28.98734177
1013,62593,CPW1C47210388,MCU,1663082576,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082580,28.92405063
1013,62593,CPW1C47210388,MCU,1663082580,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082584,28.98734177
1013,62593,CPW1C47210388,MCU,1663082584,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082588,28.92405063
1013,62593,CPW1C47210388,MCU,1663082588,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082592,28.98734177
1013,62593,CPW1C47210388,MCU,1663082592,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082596,28.98734177
1013,62593,CPW1C47210388,MCU,1663082596,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082600,28.92405063
1013,62593,CPW1C47210388,MCU,1663082600,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082604,28.79746835
1013,62593,CPW1C47210388,MCU,1663082604,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082608,28.92405063
1013,62593,CPW1C47210388,MCU,1663082608,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082612,28.92405063
1013,62593,CPW1C47210388,MCU,1663082612,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082616,28.92405063
1013,62593,CPW1C47210388,MCU,1663082616,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082620,28.92405063
1013,62593,CPW1C47210388,MCU,1663082620,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082624,28.73417722
1013,62593,CPW1C47210388,MCU,1663082624,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082628,28.92405063
1013,62593,CPW1C47210388,MCU,1663082628,28.85714286
1013,62593,CPW1C47210388,ADXL,1663082632,28.92405063
1013,62593,CPW1C47210388,MCU,1663082632,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082636,28.73417722
1013,62593,CPW1C47210388,MCU,1663082636,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082640,28.73417722
1013,62593,CPW1C47210388,MCU,1663082640,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082644,28.67088608
1013,62593,CPW1C47210388,MCU,1663082644,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082648,28.73417722
1013,62593,CPW1C47210388,MCU,1663082648,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082652,28.73417722
1013,62593,CPW1C47210388,MCU,1663082652,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082656,28.67088608
1013,62593,CPW1C47210388,MCU,1663082656,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082660,28.67088608
1013,62593,CPW1C47210388,MCU,1663082660,28.57142857
1013,62593,CPW1C47210388,ADXL,1663082664,28.73417722
1013,62593,CPW1C47210388,MCU,1663082664,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082668,28.67088608
1013,62593,CPW1C47210388,MCU,1663082668,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082672,28.67088608
1013,62593,CPW1C47210388,MCU,1663082672,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082676,28.67088608
1013,62593,CPW1C47210388,MCU,1663082676,28.28571429
1013,62593,CPW1C47210388,ADXL,1663082680,28.67088608
1013,62593,CPW1C47210388,MCU,1663082680,28.28571429
